s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.1977046,0.5395291,4.0000000,0.5267482,1.6732518
0.0999874,-0.1062789,0.5800115,4.0000000,0.5270325,1.6729675
0.1999749,-0.0148457,0.6204767,4.0000000,0.5273168,1.6726832
0.2999623,0.0765955,0.6609241,4.0000000,0.5276011,1.6723989
0.3999498,0.1680451,0.7013527,4.0000000,0.5278854,1.6721146
0.4999372,0.2595033,0.7417616,4.0000000,0.5281697,1.6718303
0.5999246,0.3509706,0.7821501,4.0000000,0.5284540,1.6715460
0.6999121,0.4424473,0.8225173,4.0000000,0.5287384,1.6712616
0.7998995,0.5339338,0.8628623,4.0000000,0.5286936,1.6713064
0.8998870,0.6254303,0.9031842,4.0000000,0.5283068,1.6716932
0.9998744,0.7169374,0.9434823,4.0000000,0.5279200,1.6720800
1.0998618,0.8084554,0.9837557,4.0000000,0.5275332,1.6724668
1.1998493,0.8999847,1.0240035,4.0000000,0.5271464,1.6728536
1.2998367,0.9915255,1.0642249,4.0000000,0.5267597,1.6732403
1.3998241,1.0830784,1.1044191,4.0000000,0.5263729,1.6736271
1.4998116,1.1746435,1.1445851,4.0000000,0.5259861,1.6740139
1.5997990,1.2662214,1.1847222,4.0000000,0.5251767,1.6748233
1.6997865,1.3578123,1.2248294,4.0000000,0.5243590,1.6756410
1.7997739,1.4494167,1.2649060,4.0000000,0.5235412,1.6764588
1.8997613,1.5410348,1.3049511,4.0000000,0.5227235,1.6772765
1.9997488,1.6326671,1.3449637,4.0000000,0.5219058,1.6780942
2.0997362,1.7243139,1.3849432,4.0000000,0.5210881,1.6789119
2.1997237,1.8159755,1.4248885,4.0000000,0.5202704,1.6797296
2.2997111,1.9076524,1.4647989,4.0000000,0.5193408,1.6806592
2.3996985,1.9993448,1.5046736,4.0000000,0.5182857,1.6817143
2.4996860,2.0910532,1.5445116,4.0000000,0.5172305,1.6827695
2.5996734,2.1827779,1.5843121,4.0000000,0.5161754,1.6838246
2.6996609,2.2745191,1.6240742,4.0000000,0.5151203,1.6848797
2.7996483,2.3662774,1.6637971,4.0000000,0.5140651,1.6859349
2.8996357,2.4580529,1.7034800,4.0000000,0.5130100,1.6869900
2.9996232,2.5498462,1.7431218,4.0000000,0.5119548,1.6880452
3.0996106,2.6416575,1.7827220,4.0000000,0.5109987,1.6890013
3.1995981,2.7334873,1.8222795,4.0000000,0.5100465,1.6899535
3.2995855,2.8253357,1.8617935,4.0000000,0.5090943,1.6909057
3.3995729,2.9172032,1.9012631,4.0000000,0.5081420,1.6918580
3.4995604,3.0090901,1.9406874,4.0000000,0.5071898,1.6928102
3.5995478,3.1009968,1.9800657,4.0000000,0.5062376,1.6937624
3.6995352,3.1929235,2.0193970,4.0000000,0.5052854,1.6947146
3.7995227,3.2848707,2.0586806,4.0000000,0.5044769,1.6955231
3.8995101,3.3768388,2.0979153,4.0000000,0.5038426,1.6961574
3.9994976,3.4688281,2.1371003,4.0000000,0.5032082,1.6967918
4.0994850,3.5608390,2.1762344,4.0000000,0.5025739,1.6974261
4.1994724,3.6528720,2.2153167,4.0000000,0.5019395,1.6980605
4.2994599,3.7449274,2.2543460,4.0000000,0.5013052,1.6986948
4.3994473,3.8370056,2.2933214,4.0000000,0.5006709,1.6993291
4.4994348,3.9291071,2.3322418,4.0000000,0.5000365,1.6999635
4.5994222,4.0212324,2.3711060,4.0000000,0.5000000,1.7000000
4.6994096,4.1133822,2.4099119,4.0000000,0.5000000,1.7000000
4.7993971,4.2055574,2.4486576,4.0000000,0.5000000,1.7000000
4.8993845,4.2977588,2.4873408,4.0000000,0.5000000,1.7000000
4.9993720,4.3899872,2.5259593,4.0000000,0.5000000,1.7000000
5.0993594,4.4822436,2.5645111,4.0000000,0.5000000,1.7000000
5.1993468,4.5745288,2.6029940,4.0000000,0.5000000,1.7000000
5.2993343,4.6668436,2.6414058,4.0000000,0.5003905,1.6996095
5.3993217,4.7591893,2.6797434,4.0000000,0.5012926,1.6987074
5.4993091,4.8515673,2.7180030,4.0000000,0.5021947,1.6978053
5.5992966,4.9439792,2.7561806,4.0000000,0.5030968,1.6969032
5.6992840,5.0364265,2.7942722,4.0000000,0.5039989,1.6960011
5.7992715,5.1289108,2.8322740,4.0000000,0.5049010,1.6950990
5.8992589,5.2214336,2.8701820,4.0000000,0.5058030,1.6941970
5.9992463,5.3139965,2.9079922,4.0000000,0.5067051,1.6932949
6.0992338,5.4066008,2.9457006,4.0000000,0.5086703,1.6913297
6.1992212,5.4992483,2.9833030,4.0000000,0.5107239,1.6892761
6.2992087,5.5919405,3.0207949,4.0000000,0.5127775,1.6872225
6.3991961,5.6846791,3.0581720,4.0000000,0.5148310,1.6851690
6.4991835,5.7774655,3.0954300,4.0000000,0.5168846,1.6831154
6.5991710,5.8703015,3.1325643,4.0000000,0.5189381,1.6810619
6.6991584,5.9631886,3.1695707,4.0000000,0.5209917,1.6790083
6.7991459,6.0561283,3.2064448,4.0000000,0.5234453,1.6765547
6.8991333,6.1491222,3.2431822,4.0000000,0.5264660,1.6735340
6.9991207,6.2421717,3.2797784,4.0000000,0.5294866,1.6705134
7.0991082,6.3352783,3.3162290,4.0000000,0.5325073,1.6674927
7.1990956,6.4284435,3.3525296,4.0000000,0.5355280,1.6644720
7.2990831,6.5216686,3.3886758,4.0000000,0.5385487,1.6614513
7.3990705,6.6149552,3.4246632,4.0000000,0.5415693,1.6584307
7.4990579,6.7083047,3.4604872,4.0000000,0.5445900,1.6554100
7.5990454,6.8017184,3.4961434,4.0000000,0.5483150,1.6516850
7.6990328,6.8951977,3.5316275,4.0000000,0.5521148,1.6478852
7.7990202,6.9887439,3.5669348,4.0000000,0.5559145,1.6440855
7.8990077,7.0823582,3.6020609,4.0000000,0.5597143,1.6402857
7.9989951,7.1760420,3.6370013,4.0000000,0.5635140,1.6364860
8.0989826,7.2697964,3.6717515,4.0000000,0.5673138,1.6326862
8.1989700,7.3636229,3.7063070,4.0000000,0.5711135,1.6288865
8.2989574,7.4575224,3.7406632,4.0000000,0.5751686,1.6248314
8.3989449,7.5514964,3.7748157,4.0000000,0.5796155,1.6203845
8.4989323,7.6455458,3.8087599,4.0000000,0.5840625,1.6159375
8.5989198,7.7396717,3.8424913,4.0000000,0.5885095,1.6114905
8.6989072,7.8338752,3.8760051,4.0000000,0.5929564,1.6070436
8.7988946,7.9281574,3.9092970,4.0000000,0.5974034,1.6025966
8.8988821,8.0225192,3.9423622,4.0000000,0.6018504,1.5981496
8.9988695,8.1169618,3.9751963,4.0000000,0.6062973,1.5937027
9.0988570,8.2114861,4.0077946,4.0000000,0.6111392,1.5888608
9.1988444,8.3060930,4.0401525,4.0000000,0.6160325,1.5839675
9.2988318,8.4007833,4.0722653,4.0000000,0.6209258,1.5790742
9.3988193,8.4955579,4.1041284,4.0000000,0.6258190,1.5741810
9.4988067,8.5904176,4.1357372,4.0000000,0.6307123,1.5692877
9.5987942,8.6853632,4.1670869,4.0000000,0.6356056,1.5643944
9.6987816,8.7803955,4.1981730,4.0000000,0.6404989,1.5595011
9.7987690,8.8755152,4.2289907,4.0000000,0.6454977,1.5545023
9.8987565,8.9707229,4.2595353,4.0000000,0.6506722,1.5493278
9.9987439,9.0660193,4.2898021,4.0000000,0.6558467,1.5441533
10.0987313,9.1614050,4.3197864,4.0000000,0.6610212,1.5389788
10.1987188,9.2568805,4.3494835,4.0000000,0.6661957,1.5338043
10.2987062,9.3524462,4.3788885,4.0000000,0.6713702,1.5286298
10.3986937,9.4481028,4.4079967,4.0000000,0.6765447,1.5234553
10.4986811,9.5438508,4.4368034,4.0000000,0.6817193,1.5182807
10.5986685,9.6396902,4.4653038,4.0000000,0.6869484,1.5130516
10.6986560,9.7356217,4.4934930,4.0000000,0.6921861,1.5078139
10.7986434,9.8316454,4.5213663,4.0000000,0.6974237,1.5025763
10.8986309,9.9277617,4.5489188,4.0000000,0.7026613,1.4973387
10.9986183,10.0239707,4.5761457,4.0000000,0.7078990,1.4921010
11.0986057,10.1202726,4.6030422,4.0000000,0.7131366,1.4868634
11.1985932,10.2166676,4.6296033,4.0000000,0.7183742,1.4816258
11.2985806,10.3131556,4.6558243,4.0000000,0.7236092,1.4763908
11.3985681,10.4097366,4.6817001,4.0000000,0.7288392,1.4711608
11.4985555,10.5064109,4.7072260,4.0000000,0.7340692,1.4659308
11.5985429,10.6031781,4.7323970,4.0000000,0.7392991,1.4607009
11.6985304,10.7000382,4.7572081,4.0000000,0.7445291,1.4554709
11.7985178,10.7969911,4.7816543,4.0000000,0.7497591,1.4502409
11.8985052,10.8940366,4.8057308,4.0000000,0.7549891,1.4450109
11.9984927,10.9911744,4.8294325,4.0000000,0.7602191,1.4397809
12.0984801,11.0884035,4.8527543,4.0000000,0.7655888,1.4344112
12.1984676,11.1857243,4.8756914,4.0000000,0.7709838,1.4290162
12.2984550,11.2831363,4.8982386,4.0000000,0.7763789,1.4236211
12.3984424,11.3806388,4.9203910,4.0000000,0.7817739,1.4182261
12.4984299,11.4782314,4.9421434,4.0000000,0.7871689,1.4128311
12.5984173,11.5759135,4.9634908,4.0000000,0.7925639,1.4074361
12.6984048,11.6736844,4.9844281,4.0000000,0.7979590,1.4020410
12.7983922,11.7715430,5.0049501,4.0000000,0.8035477,1.3964523
12.8983796,11.8694886,5.0250518,4.0000000,0.8095176,1.3904824
12.9983671,11.9675207,5.0447280,4.0000000,0.8154875,1.3845125
13.0983545,12.0656383,5.0639737,4.0000000,0.8214574,1.3785426
13.1983420,12.1638405,5.0827837,4.0000000,0.8274274,1.3725726
13.2983294,12.2621261,5.1011527,4.0000000,0.8333973,1.3666027
13.3983168,12.3604942,5.1190758,4.0000000,0.8393672,1.3606328
13.4983043,12.4589438,5.1365475,4.0000000,0.8453371,1.3546629
13.5982917,12.5574721,5.1535627,4.0000000,0.8521104,1.3478896
13.6982792,12.6560794,5.1701162,4.0000000,0.8590513,1.3409487
13.7982666,12.7547641,5.1862028,4.0000000,0.8659923,1.3340077
13.8982540,12.8535247,5.2018173,4.0000000,0.8729332,1.3270668
13.9982415,12.9523597,5.2169544,4.0000000,0.8798742,1.3201258
14.0982289,13.0512675,5.2316089,4.0000000,0.8868151,1.3131849
14.1982163,13.1502467,5.2457755,4.0000000,0.8937561,1.3062439
14.2982038,13.2492946,5.2594488,4.0000000,0.9008860,1.2991140
14.3981912,13.3484097,5.2726236,4.0000000,0.9084220,1.2915780
14.4981787,13.4475907,5.2852946,4.0000000,0.9159579,1.2840421
14.5981661,13.5468356,5.2974565,4.0000000,0.9234938,1.2765062
14.6981535,13.6461422,5.3091040,4.0000000,0.9310297,1.2689703
14.7981410,13.7455086,5.3202318,4.0000000,0.9385657,1.2614343
14.8981284,13.8449326,5.3308345,4.0000000,0.9461016,1.2538984
14.9981159,13.9444120,5.3409068,4.0000000,0.9536375,1.2463625
15.0981033,14.0439428,5.3504431,4.0000000,0.9591510,1.2408490
15.1980907,14.1435243,5.3594383,4.0000000,0.9641841,1.2358159
15.2980782,14.2431539,5.3678869,4.0000000,0.9692173,1.2307827
15.3980656,14.3428289,5.3757837,4.0000000,0.9742505,1.2257495
15.4980531,14.4425465,5.3831231,4.0000000,0.9792837,1.2207163
15.5980405,14.5423043,5.3898998,4.0000000,0.9843169,1.2156831
15.6980279,14.6420993,5.3961084,4.0000000,0.9893500,1.2106500
15.7980154,14.7419276,5.4017435,4.0000000,0.9931090,1.2068910
15.8980028,14.8417864,5.4067996,4.0000000,0.9938735,1.2061265
15.9979903,14.9416735,5.4112713,4.0000000,0.9946380,1.2053620
16.0979777,15.0415853,5.4151533,4.0000000,0.9954025,1.2045975
16.1979651,15.1415187,5.4184401,4.0000000,0.9961671,1.2038329
16.2979526,15.2414701,5.4211262,4.0000000,0.9969316,1.2030684
16.3979400,15.3414362,5.4232063,4.0000000,0.9976961,1.2023039
16.4979274,15.4414135,5.4246748,4.0000000,0.9984606,1.2015394
16.5979149,15.5413964,5.4255264,4.0000000,0.9998583,1.2001417
16.6979023,15.6413831,5.4257556,4.0000000,1.0014253,1.1985747
16.7978898,15.7413695,5.4253569,4.0000000,1.0029924,1.1970076
16.8978772,15.8413515,5.4243250,4.0000000,1.0045595,1.1954405
16.9978646,15.9413249,5.4226544,4.0000000,1.0061265,1.1938735
17.0978521,16.0412857,5.4203396,4.0000000,1.0076936,1.1923064
17.1978395,16.1412297,5.4173752,4.0000000,1.0092606,1.1907394
17.2978270,16.2411514,5.4137558,4.0000000,1.0124603,1.1875397
17.3978144,16.3410466,5.4094760,4.0000000,1.0198721,1.1801279
17.4978018,16.4409114,5.4045303,4.0000000,1.0272839,1.1727161
17.5977893,16.5407408,5.3989133,4.0000000,1.0346957,1.1653043
17.6977767,16.6405298,5.3926196,4.0000000,1.0421076,1.1578924
17.7977642,16.7402736,5.3856438,4.0000000,1.0495194,1.1504806
17.8977516,16.8399671,5.3779804,4.0000000,1.0569312,1.1430688
17.9977390,16.9396052,5.3696240,4.0000000,1.0643430,1.1356570
