s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.0122643,0.0137754,3.0000000,1.1098399,1.0901601
0.0999672,-0.1071229,0.0453238,3.0000000,1.1134993,1.0865007
0.1999345,-0.2019812,0.0768728,3.0000000,1.1171587,1.0828413
0.2999017,-0.2968394,0.1084222,3.0000000,1.1208181,1.0791819
0.3998689,-0.3916976,0.1399719,3.0000000,1.1244776,1.0755224
0.4998362,-0.4865557,0.1715217,3.0000000,1.1281370,1.0718630
0.5998034,-0.5814138,0.2030714,3.0000000,1.1318188,1.0681812
0.6997706,-0.6762720,0.2346208,3.0000000,1.1355005,1.0644995
0.7997379,-0.7711303,0.2661699,3.0000000,1.1391823,1.0608177
0.8997051,-0.8659889,0.2977183,3.0000000,1.1428641,1.0571359
0.9996723,-0.9608478,0.3292659,3.0000000,1.1465458,1.0534542
1.0996396,-1.0557069,0.3608126,3.0000000,1.1501993,1.0498007
1.1996068,-1.1505663,0.3923581,3.0000000,1.1538527,1.0461473
1.2995740,-1.2454263,0.4239023,3.0000000,1.1575061,1.0424939
1.3995413,-1.3402867,0.4554451,3.0000000,1.1611595,1.0388405
1.4995085,-1.4351478,0.4869862,3.0000000,1.1648130,1.0351870
1.5994757,-1.5300093,0.5185254,3.0000000,1.1684585,1.0315415
1.6994430,-1.6248716,0.5500627,3.0000000,1.1721041,1.0278959
1.7994102,-1.7197345,0.5815978,3.0000000,1.1757497,1.0242503
1.8993774,-1.8145983,0.6131305,3.0000000,1.1793953,1.0206047
1.9993447,-1.9094630,0.6446607,3.0000000,1.1830408,1.0169592
2.0993119,-2.0043284,0.6761882,3.0000000,1.1866702,1.0133298
2.1992791,-2.0991949,0.7077129,3.0000000,1.1902995,1.0097005
2.2992464,-2.1940624,0.7392344,3.0000000,1.1939288,1.0060712
2.3992136,-2.2889309,0.7707528,3.0000000,1.1975582,1.0024418
2.4991808,-2.3838006,0.8022678,3.0000000,1.2011875,0.9988125
2.5991481,-2.4786715,0.8337791,3.0000000,1.2047952,0.9952048
2.6991153,-2.5735435,0.8652868,3.0000000,1.2084028,0.9915972
2.7990825,-2.6684169,0.8967905,3.0000000,1.2120105,0.9879895
2.8990498,-2.7632917,0.9282901,3.0000000,1.2156181,0.9843819
2.9990170,-2.8581680,0.9597854,3.0000000,1.2192258,0.9807742
3.0989842,-2.9530456,0.9912763,3.0000000,1.2228001,0.9771999
3.1989515,-3.0479248,1.0227626,3.0000000,1.2263745,0.9736255
3.2989187,-3.1428056,1.0542440,3.0000000,1.2299488,0.9700512
3.3988859,-3.2376880,1.0857205,3.0000000,1.2335232,0.9664768
3.4988532,-3.3325722,1.1171919,3.0000000,1.2370975,0.9629025
3.5988204,-3.4274581,1.1486579,3.0000000,1.2406342,0.9593658
3.6987876,-3.5223458,1.1801184,3.0000000,1.2441708,0.9558292
3.7987549,-3.6172354,1.2115733,3.0000000,1.2477075,0.9522925
3.8987221,-3.7121270,1.2430223,3.0000000,1.2512441,0.9487559
3.9986893,-3.8070206,1.2744654,3.0000000,1.2547808,0.9452192
4.0986566,-3.9019161,1.3059021,3.0000000,1.2572649,0.9427351
4.1986238,-3.9968138,1.3373326,3.0000000,1.2597490,0.9402510
4.2985910,-4.0917137,1.3687564,3.0000000,1.2622331,0.9377669
4.3985583,-4.1866158,1.4001736,3.0000000,1.2647172,0.9352828
4.4985255,-4.2815203,1.4315839,3.0000000,1.2672013,0.9327987
4.5984927,-4.3764269,1.4629871,3.0000000,1.2716391,0.9283609
4.6984600,-4.4713360,1.4943830,3.0000000,1.2760768,0.9239232
4.7984272,-4.5662476,1.5257716,3.0000000,1.2805145,0.9194855
4.8983944,-4.6611617,1.5571525,3.0000000,1.2849523,0.9150477
4.9983617,-4.7560785,1.5885257,3.0000000,1.2893900,0.9106100
5.0983289,-4.8509977,1.6198909,3.0000000,1.2928495,0.9071505
5.1982961,-4.9459196,1.6512480,3.0000000,1.2963090,0.9036910
5.2982634,-5.0408443,1.6825969,3.0000000,1.2997685,0.9002315
5.3982306,-5.1357718,1.7139372,3.0000000,1.3032280,0.8967720
5.4981978,-5.2307023,1.7452690,3.0000000,1.3066875,0.8933125
5.5981651,-5.3256354,1.7765918,3.0000000,1.3100582,0.8899418
5.6981323,-5.4205716,1.8079057,3.0000000,1.3134290,0.8865710
5.7980995,-5.5155109,1.8392104,3.0000000,1.3167997,0.8832003
5.8980668,-5.6104533,1.8705058,3.0000000,1.3201704,0.8798296
5.9980340,-5.7053988,1.9017917,3.0000000,1.3235411,0.8764589
6.0980012,-5.8003474,1.9330678,3.0000000,1.3268520,0.8731480
6.1979685,-5.8952993,1.9643341,3.0000000,1.3301628,0.8698372
6.2979357,-5.9902545,1.9955904,3.0000000,1.3334737,0.8665263
6.3979029,-6.0852131,2.0268364,3.0000000,1.3367845,0.8632155
6.4978702,-6.1801752,2.0580721,3.0000000,1.3400954,0.8599046
6.5978374,-6.2751406,2.0892971,3.0000000,1.3433184,0.8566816
6.6978046,-6.3701096,2.1205114,3.0000000,1.3465413,0.8534587
6.7977719,-6.4650822,2.1517148,3.0000000,1.3497643,0.8502357
6.8977391,-6.5600585,2.1829071,3.0000000,1.3529873,0.8470127
6.9977063,-6.6550385,2.2140882,3.0000000,1.3562103,0.8437897
7.0976736,-6.7500221,2.2452577,3.0000000,1.3594238,0.8405762
7.1976408,-6.8450096,2.2764156,3.0000000,1.3626373,0.8373627
7.2976080,-6.9400010,2.3075618,3.0000000,1.3658508,0.8341492
7.3975753,-7.0349964,2.3386960,3.0000000,1.3690643,0.8309357
