s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,0.0397757,0.0592070,3.0000000,1.1676379,1.0323621
0.0999881,-0.0545462,0.0923871,3.0000000,1.1730187,1.0269813
0.1999762,-0.1488708,0.1255597,3.0000000,1.1783996,1.0216004
0.2999642,-0.2431982,0.1587247,3.0000000,1.1837805,1.0162195
0.3999523,-0.3375284,0.1918818,3.0000000,1.1891613,1.0108387
0.4999404,-0.4318615,0.2250309,3.0000000,1.1945422,1.0054578
0.5999285,-0.5261976,0.2581718,3.0000000,1.1999231,1.0000769
0.6999165,-0.6205368,0.2913043,3.0000000,1.2053039,0.9946961
0.7999046,-0.7148791,0.3244283,3.0000000,1.2106848,0.9893152
0.8998927,-0.8092246,0.3575434,3.0000000,1.2160657,0.9839343
0.9998808,-0.9035733,0.3906495,3.0000000,1.2214465,0.9785535
1.0998689,-0.9979243,0.4237462,3.0000000,1.2266789,0.9733211
1.1998569,-1.0922788,0.4568335,3.0000000,1.2319113,0.9680887
1.2998450,-1.1866367,0.4899112,3.0000000,1.2371437,0.9628563
1.3998331,-1.2809982,0.5229792,3.0000000,1.2423761,0.9576239
1.4998212,-1.3753632,0.5560372,3.0000000,1.2476085,0.9523915
1.5998093,-1.4697320,0.5890851,3.0000000,1.2528409,0.9471591
1.6997973,-1.5641045,0.6221227,3.0000000,1.2580732,0.9419268
1.7997854,-1.6584809,0.6551498,3.0000000,1.2633056,0.9366944
1.8997735,-1.7528611,0.6881662,3.0000000,1.2685380,0.9314620
1.9997616,-1.8472452,0.7211716,3.0000000,1.2737704,0.9262296
2.0997496,-1.9416321,0.7541656,3.0000000,1.2788773,0.9211227
2.1997377,-2.0360232,0.7871482,3.0000000,1.2839842,0.9160158
2.2997258,-2.1304184,0.8201194,3.0000000,1.2890910,0.9109090
2.3997139,-2.2248178,0.8530789,3.0000000,1.2941979,0.9058021
2.4997020,-2.3192215,0.8860265,3.0000000,1.2993048,0.9006952
2.5996900,-2.4136296,0.9189620,3.0000000,1.3044117,0.8955883
2.6996781,-2.5080420,0.9518853,3.0000000,1.3095186,0.8904814
2.7996662,-2.6024590,0.9847961,3.0000000,1.3146255,0.8853745
2.8996543,-2.6968805,1.0176943,3.0000000,1.3197323,0.8802677
2.9996424,-2.7913065,1.0505796,3.0000000,1.3248392,0.8751608
3.0996304,-2.8857361,1.0834515,3.0000000,1.3298046,0.8701954
3.1996185,-2.9801704,1.1163101,3.0000000,1.3347701,0.8652299
3.2996066,-3.0746095,1.1491553,3.0000000,1.3397355,0.8602645
3.3995947,-3.1690535,1.1819868,3.0000000,1.3447009,0.8552991
3.4995827,-3.2635025,1.2148045,3.0000000,1.3496663,0.8503337
3.5995708,-3.3579564,1.2476083,3.0000000,1.3546317,0.8453683
3.6995589,-3.4524154,1.2803978,3.0000000,1.3595971,0.8404029
3.7995470,-3.5468796,1.3131728,3.0000000,1.3645625,0.8354375
3.8995351,-3.6413489,1.3459333,3.0000000,1.3695279,0.8304721
3.9995231,-3.7358234,1.3786790,3.0000000,1.3744933,0.8255067
4.0995112,-3.8303022,1.4114092,3.0000000,1.3792780,0.8207220
4.1994993,-3.9247864,1.4441243,3.0000000,1.3840627,0.8159373
4.2994874,-4.0192760,1.4768240,3.0000000,1.3888474,0.8111526
