s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,9.1920962,8.4086557,3.0000000,0.6497642,0.3502358
0.0499755,9.2163155,8.4524089,3.0000000,0.6491107,0.3508893
0.0999510,9.2403231,8.4962698,3.0000000,0.6484572,0.3515428
0.1499265,9.2641233,8.5402348,3.0000000,0.6478036,0.3521964
0.1999020,9.2877206,8.5843006,3.0000000,0.6471501,0.3528499
0.2498775,9.3111195,8.6284638,3.0000000,0.6464966,0.3535034
0.2998530,9.3343245,8.6727211,3.0000000,0.6458431,0.3541569
0.3498285,9.3573400,8.7170692,3.0000000,0.6451896,0.3548104
0.3998041,9.3801704,8.7615046,3.0000000,0.6445361,0.3554639
0.4497796,9.4028202,8.8060241,3.0000000,0.6438825,0.3561175
0.4997551,9.4252939,8.8506241,3.0000000,0.6432290,0.3567710
0.5497306,9.4476278,8.8953655,3.0000000,0.6415716,0.3584284
0.5997061,9.4697951,8.9401828,3.0000000,0.6398701,0.3601299
0.6496816,9.4918003,8.9850718,3.0000000,0.6381687,0.3618313
0.6996571,9.5136485,9.0300296,3.0000000,0.6364672,0.3635328
0.7496326,9.5353445,9.0750534,3.0000000,0.6347657,0.3652343
0.7996081,9.5568936,9.1201404,3.0000000,0.6330643,0.3669357
0.8495836,9.5783006,9.1652875,3.0000000,0.6313628,0.3686372
0.8995591,9.5995706,9.2104920,3.0000000,0.6296613,0.3703387
0.9495346,9.6207087,9.2557509,3.0000000,0.6279598,0.3720402
0.9995101,9.6417199,9.3010615,3.0000000,0.6262584,0.3737416
1.0494856,9.6626352,9.3464773,3.0000000,0.6231972,0.3768028
1.0994612,9.6834342,9.3919410,3.0000000,0.6200113,0.3799887
1.1494367,9.7041217,9.4374486,3.0000000,0.6168253,0.3831747
1.1994122,9.7247030,9.4829979,3.0000000,0.6136394,0.3863606
1.2493877,9.7451835,9.5285863,3.0000000,0.6104535,0.3895465
1.2993632,9.7655684,9.5742116,3.0000000,0.6072676,0.3927324
1.3493387,9.7858631,9.6198712,3.0000000,0.6040816,0.3959184
1.3993142,9.8060729,9.6655629,3.0000000,0.6008957,0.3991043
1.4492897,9.8262033,9.7112841,3.0000000,0.5977098,0.4022902
1.4992652,9.8462594,9.7570325,3.0000000,0.5945238,0.4054762
1.5492407,9.8662650,9.8028477,3.0000000,0.5898416,0.4101584
1.5992162,9.8862073,9.8486862,3.0000000,0.5849436,0.4150564
1.6491917,9.9060915,9.8945453,3.0000000,0.5800455,0.4199545
1.6991672,9.9259229,9.9404227,3.0000000,0.5751475,0.4248525
1.7491427,9.9457071,9.9863164,3.0000000,0.5702494,0.4297506
1.7991183,9.9654494,10.0322243,3.0000000,0.5653513,0.4346487
1.8490938,9.9851553,10.0781441,3.0000000,0.5604533,0.4395467
1.8990693,10.0048301,10.1240737,3.0000000,0.5555552,0.4444448
1.9490448,10.0244793,10.1700110,3.0000000,0.5506572,0.4493428
1.9990203,10.0441084,10.2159540,3.0000000,0.5457591,0.4542409
2.0489958,10.0637327,10.2619238,3.0000000,0.5393718,0.4606282
2.0989713,10.0833478,10.3078949,3.0000000,0.5326835,0.4673165
2.1489468,10.1029591,10.3538653,3.0000000,0.5259953,0.4740047
2.1989223,10.1225723,10.3998328,3.0000000,0.5193071,0.4806929
2.2488978,10.1421927,10.4457954,3.0000000,0.5126188,0.4873812
2.2988733,10.1618260,10.4917510,3.0000000,0.5059306,0.4940694
2.3488488,10.1814776,10.5376974,3.0000000,0.4992424,0.5007576
2.3988243,10.2011530,10.5836326,3.0000000,0.4925541,0.5074459
2.4487998,10.2208578,10.6295545,3.0000000,0.4858659,0.5141341
2.4987754,10.2405976,10.6754610,3.0000000,0.4791777,0.5208223
2.5487509,10.2603777,10.7213500,3.0000000,0.4711722,0.5288278
2.5987264,10.2802037,10.7672194,3.0000000,0.4628164,0.5371836
2.6487019,10.3000810,10.8130671,3.0000000,0.4544606,0.5455394
2.6986774,10.3200152,10.8588910,3.0000000,0.4461048,0.5538952
2.7486529,10.3400118,10.9046891,3.0000000,0.4377490,0.5622510
2.7986284,10.3600761,10.9504592,3.0000000,0.4293932,0.5706068
2.8486039,10.3802138,10.9961993,3.0000000,0.4210374,0.5789626
2.8985794,10.4004302,11.0419072,3.0000000,0.4126816,0.5873184
2.9485549,10.4207309,11.0875808,3.0000000,0.4043258,0.5956742
2.9985304,10.4411207,11.1332167,3.0000000,0.3959700,0.6040300
3.0485059,10.4615932,11.1787863,3.0000000,0.3937172,0.6062828
3.0984814,10.4821660,11.2243148,3.0000000,0.3935216,0.6064784
3.1484569,10.5028447,11.2697996,3.0000000,0.3933260,0.6066740
3.1984325,10.5236343,11.3152381,3.0000000,0.3931304,0.6068696
3.2484080,10.5445405,11.3606277,3.0000000,0.3929348,0.6070652
3.2983835,10.5655683,11.4059658,3.0000000,0.3927392,0.6072608
3.3483590,10.5867232,11.4512496,3.0000000,0.3925436,0.6074564
3.3983345,10.6080105,11.4964766,3.0000000,0.3923481,0.6076519
3.4483100,10.6294356,11.5416442,3.0000000,0.3921525,0.6078475
3.4982855,10.6510022,11.5867466,3.0000000,0.3919569,0.6080431
3.5482610,10.6726947,11.6317380,3.0000000,0.3947285,0.6052715
3.5982365,10.6945405,11.6766617,3.0000000,0.3987366,0.6012634
3.6482120,10.7165445,11.7215146,3.0000000,0.4027446,0.5972554
3.6981875,10.7387120,11.7662936,3.0000000,0.4067527,0.5932473
3.7481630,10.7610481,11.8109957,3.0000000,0.4107607,0.5892393
3.7981385,10.7835579,11.8556176,3.0000000,0.4147687,0.5852313
3.8481140,10.8062465,11.9001563,3.0000000,0.4187768,0.5812232
3.8980896,10.8291191,11.9446087,3.0000000,0.4227848,0.5772152
3.9480651,10.8521808,11.9889718,3.0000000,0.4267929,0.5732071
3.9980406,10.8754342,12.0332376,3.0000000,0.4308009,0.5691991
4.0480161,10.8988532,12.0773447,3.0000000,0.4339357,0.5660643
4.0979916,10.9224758,12.1213526,3.0000000,0.4366284,0.5633716
4.1479671,10.9463066,12.1652572,3.0000000,0.4393210,0.5606790
4.1979426,10.9703504,12.2090547,3.0000000,0.4420136,0.5579864
4.2479181,10.9946120,12.2527411,3.0000000,0.4447063,0.5552937
4.2978936,11.0190961,12.2963126,3.0000000,0.4473989,0.5526011
4.3478691,11.0438076,12.3397652,3.0000000,0.4500916,0.5499084
4.3978446,11.0687511,12.3830950,3.0000000,0.4527842,0.5472158
4.4478201,11.0939315,12.4262980,3.0000000,0.4554769,0.5445231
4.4977956,11.1193509,12.4693659,3.0000000,0.4581695,0.5418305
4.5477711,11.1449723,12.5122257,3.0000000,0.4567307,0.5432693
4.5977467,11.1708435,12.5549466,3.0000000,0.4527796,0.5472204
4.6477222,11.1969685,12.5975235,3.0000000,0.4488284,0.5511716
4.6976977,11.2233516,12.6399517,3.0000000,0.4448773,0.5551227
4.7476732,11.2499970,12.6822263,3.0000000,0.4409261,0.5590739
4.7976487,11.2769088,12.7243424,3.0000000,0.4369750,0.5630250
4.8476242,11.3040914,12.7662951,3.0000000,0.4330238,0.5669762
4.8975997,11.3315489,12.8080795,3.0000000,0.4290727,0.5709273
4.9475752,11.3592855,12.8496908,3.0000000,0.4251215,0.5748785
4.9975507,11.3873037,12.8911218,3.0000000,0.4211704,0.5788296
5.0475262,11.4155573,12.9322943,3.0000000,0.4133178,0.5866822
5.0975017,11.4441007,12.9732786,3.0000000,0.4026381,0.5973619
