s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.3858524,1.9820771,2.2781360,0.6729569,0.7109666
0.0499818,-0.3981925,1.9336122,2.2619313,0.6592505,0.7439399
0.0999636,-0.4110070,1.8852660,2.2306549,0.6455442,0.7769132
0.1499454,-0.4241038,1.8369940,2.1863774,0.6318378,0.8098866
0.1999272,-0.4372904,1.7887519,2.1375323,0.6181314,0.8428599
0.2499090,-0.4503747,1.7404949,2.0876883,0.6044251,0.8758332
0.2998908,-0.4631643,1.6921787,2.0400308,0.5907187,0.9088065
0.3498726,-0.4754671,1.6437587,1.9976051,0.5770124,0.9417798
0.3998544,-0.4870906,1.5951904,1.9620845,0.5633060,0.9747532
0.4498362,-0.4978426,1.5464293,1.9326897,0.5495996,1.0077265
0.4998180,-0.5075291,1.4974409,1.9082036,0.5358933,1.0406998
0.5497998,-0.5159908,1.4482527,1.8871119,0.5323040,1.0651730
0.5997816,-0.5231950,1.3988335,1.8674794,0.5287146,1.0896462
0.6497634,-0.5291136,1.3492217,1.8470337,0.5251253,1.1141195
0.6997452,-0.5337186,1.2994557,1.8255507,0.5215360,1.1385927
0.7497270,-0.5369817,1.2495738,1.8029508,0.5179466,1.1630659
0.7997088,-0.5388748,1.1996146,1.7791220,0.5143573,1.1875391
0.8496906,-0.5393698,1.1496162,1.7539149,0.5107680,1.2120123
0.8996724,-0.5384385,1.0996173,1.7271166,0.5071787,1.2364856
0.9496542,-0.5360529,1.0496560,1.6988395,0.5035893,1.2609588
0.9996360,-0.5321789,0.9997097,1.6695108,0.5000000,1.2854320
1.0496178,-0.5267547,0.9497319,1.6396552,0.5000000,1.2785312
1.0995996,-0.5197199,0.8999857,1.6099173,0.5000000,1.2716305
1.1495814,-0.5110006,0.8505709,1.5811134,0.5000000,1.2647297
1.1995632,-0.5005229,0.8015874,1.5538802,0.5000000,1.2578289
1.2495450,-0.4882129,0.7531349,1.5286839,0.5000000,1.2509281
1.2995268,-0.4739968,0.7053131,1.5062164,0.5000000,1.2440273
1.3495086,-0.4578005,0.6582220,1.4882400,0.5000000,1.2371266
1.3994904,-0.4395504,0.6119612,1.4750669,0.5000000,1.2302258
1.4494722,-0.4191723,0.5666306,1.4663056,0.5000000,1.2233250
1.4994540,-0.3966237,0.5223817,1.4638306,0.5000000,1.2164242
