s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.4072149,0.1057125,1.6279979,0.9849627,0.5150373
0.0499560,-0.3650635,0.0773709,1.6564121,0.9990653,0.5009347
0.0999120,-0.3222103,0.0505176,1.6822987,1.0131679,0.4868321
0.1498680,-0.2786965,0.0251497,1.7052011,1.0272704,0.4727296
0.1998240,-0.2345631,0.0012646,1.7248159,1.0413730,0.4586270
0.2497799,-0.1898513,-0.0211405,1.7415683,1.0554756,0.4445244
0.2997359,-0.1446023,-0.0420684,1.7558435,1.0695782,0.4304218
0.3496919,-0.0988571,-0.0615216,1.7679881,1.0836807,0.4163193
0.3996479,-0.0526570,-0.0795030,1.7783106,1.0977833,0.4022167
0.4496039,-0.0060431,-0.0960153,1.7870810,1.1118859,0.3881141
0.4995599,0.0409435,-0.1110612,1.7955951,1.1259885,0.3740115
0.5495159,0.0888393,-0.1248022,1.8054389,1.1333845,0.3671200
0.5994719,0.1374857,-0.1372040,1.8178113,1.1399422,0.3611298
0.6494279,0.1863925,-0.1482191,1.8336869,1.1465000,0.3551396
0.6993839,0.2355170,-0.1579368,1.8538858,1.1530577,0.3491494
0.7493398,0.2848163,-0.1664467,1.8780506,1.1596154,0.3431593
0.7992958,0.3342478,-0.1738381,1.9054094,1.1661731,0.3371691
0.8492518,0.3837685,-0.1802006,1.9354743,1.1727308,0.3311789
0.8992078,0.4333358,-0.1856237,1.9678965,1.1792885,0.3251887
0.9491638,0.4829069,-0.1901967,2.0024109,1.1858463,0.3191986
0.9991198,0.5324389,-0.1940092,2.0387287,1.1924040,0.3132084
1.0490758,0.5822281,-0.1971698,2.0764770,1.1988501,0.3109636
1.0990318,0.6325516,-0.1997603,2.1153487,1.2052644,0.3097889
1.1489878,0.6827684,-0.2018041,2.1550853,1.2116787,0.3086143
1.1989438,0.7328837,-0.2033683,2.1954011,1.2180929,0.3074396
1.2488997,0.7829030,-0.2045201,2.2357967,1.2245072,0.3062649
1.2988557,0.8328320,-0.2053265,2.2759364,1.2309215,0.3050902
1.3488117,0.8826759,-0.2058549,2.3154830,1.2373357,0.3039156
1.3987677,0.9324403,-0.2061723,2.3541038,1.2437500,0.3027409
1.4487237,0.9821307,-0.2063458,2.3915382,1.2501643,0.3015662
1.4986797,1.0317525,-0.2064428,2.4278572,1.2565785,0.3003916
1.5486357,1.0814931,-0.2065300,2.4631251,1.2609700,0.3000000
1.5985917,1.1315509,-0.2066420,2.4974004,1.2643502,0.3000000
1.6485477,1.1815603,-0.2067592,2.5307365,1.2677303,0.3000000
1.6985037,1.2315304,-0.2068580,2.5631820,1.2711104,0.3000000
1.7484596,1.2814707,-0.2069149,2.5947818,1.2744905,0.3000000
1.7984156,1.3313904,-0.2069062,2.6255771,1.2778706,0.3000000
1.8483716,1.3812987,-0.2068085,2.6556059,1.2812507,0.3000000
1.8983276,1.4312049,-0.2065981,2.6849034,1.2846308,0.3000000
1.9482836,1.4811184,-0.2062515,2.7135023,1.2880109,0.3000000
1.9982396,1.5310483,-0.2057450,2.7414330,1.2913910,0.3000000
2.0481956,1.5809605,-0.2050560,2.7687236,1.2921776,0.3010938
2.0981516,1.6308412,-0.2041661,2.7954007,1.2908893,0.3030626
2.1481076,1.6807447,-0.2030609,2.8214888,1.2896010,0.3050315
2.1980636,1.7306654,-0.2017270,2.8470110,1.2883127,0.3070003
2.2480195,1.7805973,-0.2001510,2.8718899,1.2870244,0.3089691
2.2979755,1.8305349,-0.1983195,2.8959724,1.2857362,0.3109379
2.3479315,1.8804723,-0.1962190,2.9190958,1.2844479,0.3129068
2.3978875,1.9304037,-0.1938362,2.9410872,1.2831596,0.3148756
2.4478435,1.9803235,-0.1911577,2.9617629,1.2818713,0.3168444
2.4977995,2.0302259,-0.1881700,2.9810911,1.2805830,0.3188133
2.5477555,2.0800905,-0.1848609,2.9991679,1.2775985,0.3221858
2.5977115,2.1299134,-0.1812218,3.0160959,1.2724937,0.3273129
2.6476675,2.1797077,-0.1772472,3.0319850,1.2673889,0.3324400
2.6976235,2.2294719,-0.1729326,3.0469528,1.2622842,0.3375671
2.7475794,2.2792043,-0.1682736,3.0610617,1.2571794,0.3426942
2.7975354,2.3289033,-0.1632658,3.0743174,1.2520746,0.3478213
2.8474914,2.3785673,-0.1579048,3.0867253,1.2469698,0.3529484
2.8974474,2.4281946,-0.1521861,3.0982905,1.2418650,0.3580755
2.9474034,2.4777835,-0.1461054,3.1090178,1.2367602,0.3632026
2.9973594,2.5273325,-0.1396582,3.1189062,1.2316554,0.3683297
3.0473154,2.5768161,-0.1328435,3.1270028,1.2252967,0.3747534
