s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,0.1487838,-0.1599077,1.4969673,0.9450000,0.3550000
0.0499419,0.1834556,-0.1237797,1.5337925,0.9053251,0.3886240
0.0998838,0.2194108,-0.0888841,1.5624987,0.8656502,0.4222480
0.1498257,0.2566055,-0.0553136,1.5792836,0.8259753,0.4558720
0.1997676,0.2949959,-0.0231607,1.5842652,0.7863003,0.4894960
0.2497095,0.3345380,0.0074819,1.5792223,0.7466254,0.5231200
0.2996514,0.3751882,0.0365217,1.5661169,0.7069505,0.5567441
0.3495933,0.4169024,0.0638660,1.5511548,0.6672756,0.5903681
0.3995352,0.4596368,0.0894223,1.5395303,0.6276007,0.6239921
0.4494770,0.5033476,0.1130979,1.5311265,0.5879258,0.6576161
0.4994189,0.5480113,0.1348097,1.5294834,0.5482509,0.6912401
0.5493608,0.5936998,0.1545671,1.5356158,0.5331557,0.7088411
0.5993027,0.6401812,0.1724067,1.5496537,0.5180605,0.7264421
0.6492446,0.6873597,0.1884631,1.5709362,0.5029653,0.7440431
0.6991865,0.7351394,0.2028714,1.6001123,0.4878701,0.7616441
0.7491284,0.7834244,0.2157664,1.6339355,0.4727749,0.7792451
0.7990703,0.8321189,0.2272830,1.6713995,0.4576797,0.7968462
0.8490122,0.8811270,0.2375561,1.7118719,0.4425846,0.8144472
0.8989541,0.9303529,0.2467206,1.7549102,0.4274894,0.8320482
0.9488960,0.9797006,0.2549113,1.8000661,0.4123942,0.8496492
0.9988379,1.0292185,0.2622833,1.8467109,0.3972990,0.8672502
1.0487798,1.0790637,0.2689766,1.8943437,0.3930691,0.8755940
1.0987217,1.1288669,0.2750246,1.9425564,0.3888392,0.8839378
1.1486636,1.1786295,0.2805148,1.9909264,0.3846093,0.8922815
1.1986055,1.2283526,0.2855346,2.0388511,0.3803794,0.9006253
1.2485474,1.2780376,0.2901715,2.0860447,0.3761495,0.9089691
1.2984893,1.3276856,0.2945130,2.1321977,0.3719196,0.9173129
1.3484311,1.3772981,0.2986465,2.1769893,0.3676897,0.9256566
1.3983730,1.4268763,0.3026594,2.2201793,0.3634598,0.9340004
1.4483149,1.4764214,0.3066393,2.2618830,0.3592299,0.9423442
1.4982568,1.5261170,0.3106861,2.3022025,0.3550000,0.9506880
1.5481987,1.5759363,0.3148376,2.3412290,0.3556031,0.9560232
1.5981406,1.6257284,0.3190791,2.3790442,0.3562063,0.9613584
1.6480825,1.6754960,0.3234072,2.4157214,0.3568094,0.9666936
1.6980244,1.7252420,0.3278183,2.4513272,0.3574126,0.9720288
1.7479663,1.7749693,0.3323086,2.4859219,0.3580157,0.9773640
1.7979082,1.8246806,0.3368747,2.5195603,0.3586189,0.9826992
1.8478501,1.8743788,0.3415129,2.5522927,0.3592220,0.9880344
1.8977920,1.9240668,0.3462197,2.5841651,0.3598251,0.9933696
1.9477339,1.9737473,0.3509913,2.6152199,0.3604283,0.9987048
1.9976758,2.0234363,0.3558219,2.6454961,0.3610314,1.0040401
2.0476177,2.0731266,0.3606805,2.6750298,0.3604283,1.0080388
2.0975596,2.1228204,0.3655291,2.7038545,0.3598251,1.0120376
2.1475015,2.1725218,0.3703296,2.7221255,0.3592220,1.0160363
