s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,0.2386202,-0.2148731,1.4219853,1.0507849,0.2492151
0.0498500,0.2687938,-0.1753455,1.4257235,1.0002051,0.2936830
0.0996999,0.3008709,-0.1374399,1.4351989,0.9496253,0.3381508
0.1495499,0.3346997,-0.1010881,1.4542093,0.8990455,0.3826187
0.1993999,0.3701285,-0.0662219,1.4801567,0.8484656,0.4270866
0.2492498,0.4070059,-0.0327729,1.5101180,0.7978858,0.4715544
0.2990998,0.4451801,-0.0006729,1.5433029,0.7473060,0.5160223
0.3489498,0.4844995,0.0301463,1.5791981,0.6967262,0.5604901
0.3987997,0.5248125,0.0597530,1.6174276,0.6461464,0.6049580
0.4486497,0.5659673,0.0882154,1.6576906,0.5955666,0.6494258
0.4984997,0.6078125,0.1156019,1.6991442,0.5449868,0.6938937
0.5483497,0.6503360,0.1420614,1.7405763,0.5030640,0.7324138
0.5981996,0.6934452,0.1676059,1.7809118,0.4842266,0.7550735
0.6480496,0.7370112,0.1921640,1.8191900,0.4653892,0.7777331
0.6978996,0.7810228,0.2157367,1.8545464,0.4465518,0.8003928
0.7477495,0.8254686,0.2383250,1.8867672,0.4277144,0.8230524
0.7975995,0.8703374,0.2599298,1.9161447,0.4088770,0.8457121
0.8474495,0.9156178,0.2805521,1.9429467,0.3900396,0.8683717
0.8972994,0.9612986,0.3001929,1.9674204,0.3712022,0.8910314
0.9471494,1.0073683,0.3188531,1.9897961,0.3523648,0.9136910
0.9969994,1.0538157,0.3365338,2.0103841,0.3335274,0.9363507
1.0468493,1.1006818,0.3532538,2.0300331,0.3146900,0.9590103
1.0966993,1.1482200,0.3691071,2.0494767,0.3007312,0.9767040
1.1465493,1.1960654,0.3840067,2.0693530,0.2908379,0.9902594
1.1963992,1.2441696,0.3979877,2.0902186,0.2809447,1.0038148
1.2462492,1.2924843,0.4110850,2.1124644,0.2710515,1.0173702
1.2960992,1.3409609,0.4233337,2.1358672,0.2611582,1.0309256
1.3459492,1.3895511,0.4347686,2.1602515,0.2512650,1.0444810
1.3957991,1.4382064,0.4454249,2.1854771,0.2413717,1.0580364
1.4456491,1.4868786,0.4553373,2.2114309,0.2314785,1.0715918
1.4954991,1.5355191,0.4645410,2.2380214,0.2215853,1.0851472
1.5453490,1.5840795,0.4730709,2.2651333,0.2116920,1.0987026
1.5951990,1.6336746,0.4811436,2.2926905,0.2017988,1.1122580
1.6450490,1.6833925,0.4886243,2.3206604,0.2000000,1.1196863
1.6948989,1.7330026,0.4955133,2.3490446,0.2000000,1.1257530
1.7447489,1.7825255,0.5018538,2.3778707,0.2000000,1.1318198
1.7945989,1.8319818,0.5076888,2.4072266,0.2000000,1.1378865
1.8444488,1.8813918,0.5130613,2.4371872,0.2000000,1.1439533
1.8942988,1.9307763,0.5180143,2.4678021,0.2000000,1.1500200
1.9441488,1.9801557,0.5225909,2.4990335,0.2000000,1.1560867
1.9939987,2.0295505,0.5268340,2.5305875,0.2000000,1.1621535
2.0438487,2.0789812,0.5307866,2.5621684,0.2000000,1.1682202
2.0936987,2.1283307,0.5344772,2.5934833,0.2000000,1.1742870
2.1435487,2.1777144,0.5379174,2.6242462,0.2000000,1.1799733
